           2           3           1   1.44269502    
           3           5           2   1.82047844    
           7          11           4   2.05559349    
          23          29           6   1.91357398    
          89          97           8   1.78227842    
         113         127          14   2.96146631    
         523         541          18   2.87559152    
         887         907          20   2.94644308    
        1129        1151          22   3.12985158    
        1327        1361          34   4.72834539    
        9551        9587          36   3.92824364    
       15683       15727          44   4.55470848    
       19609       19661          52   5.26116419    
       31397       31469          72   6.95352030    
      155921      156007          86   7.19237661    
      360653      360749          96   7.50253725    
      370261      370373         112   8.73501205    
      492113      492227         114   8.69799900    
     1349533     1349651         118   8.35974121    
     1357201     1357333         132   9.34782219    
     2010733     2010881         148   10.1970444    
     4652353     4652507         154   10.0306892    
    17051707    17051887         180   10.8096685    
    20831323    20831533         210   12.4614525    
    47326693    47326913         220   12.4486599    
   122164747   122164969         222   11.9221001    
   189695659   189695893         234   12.2764196    
   191912783   191913031         248   13.0029793    
   387096133   387096383         250   12.6427469    
   436273009   436273291         282   14.1752853    
